Centro,Almacén,Material,N° Pallet,Lote,Fecha,Stock,UN,Bloqueado,Antiguedad_dias
P109,I93,920100669,1001615608,25J11GJIEA,11.10.25,2419,UN,,4
P109,I93,920100668,1001615875,25J09GJAEH,09.10.25,2372,UN,,6
P109,I93,920100668,1001615592,25J11GJAEC,11.10.25,2371,UN,,4
P109,I93,920100670,1001614113,25J06GJNEE,06.10.25,2368,UN,,9
P109,I93,920100669,1001614513,25J08GJIEB,08.10.25,2230,UN,,7
P109,I93,920100668,1001615544,25J10GJAEA,10.10.25,2212,UN,,5
P109,I93,920100668,1001615583,25J11GJAEA,11.10.25,2142,UN,,4
P109,I93,920100668,1001615576,25J10GJAEH,10.10.25,2140,UN,,5
P109,I93,930101926,1001383749,24F17FJNLB,17.06.24,2060,UN,,485
P109,I93,930101928,1001376589,24E23FJHLI,23.05.24,2016,UN,,510
P109,I93,920100668,1001615851,25J09GJAEC,09.10.25,1976,UN,,6
P109,I93,930101926,1001389327,24F17FJNLB,17.06.24,1968,UN,,485
P109,I93,930101926,1001389383,24F17FJNLB,17.06.24,1968,UN,,485
P109,I93,920100669,1001614509,25J08GJIEA,08.10.25,1944,UN,,7
P109,I93,930101926,1001403352,24G12FJNLB,12.07.24,1824,UN,,460
P109,I93,930101928,1001326830,24C13FJHLC,13.03.24,1766,UN,,581
P109,I93,920100669,1001615624,25J13GJIEA,13.10.25,1731,UN,,2
P109,I93,920100668,1001615601,25J11GJAEE,11.10.25,1672,UN,,4
P109,I93,920100668,1001615575,25J10GJAEG,10.10.25,1576,UN,,5
P109,I93,920100668,1001615863,25J09GJAEF,09.10.25,1489,UN,,6
P109,I93,930101927,1001377869,24E11FJALC,11.05.24,1392,UN,,522
P109,I93,920100669,1001615630,25J13GJIEB,13.10.25,1348,UN,,2
P109,I93,920100668,1001615566,25J10GJAEE,10.10.25,1308,UN,,5
P109,I93,920100669,1001614247,25J07GJIEC,07.10.25,1275,UN,,8
P109,I93,930101926,1001438020,25A09FJNLA,09.01.25,1152,UN,,279
P109,I93,930101928,1001379102,24E25FJHLD,25.05.24,1056,UN,,508
P109,I93,920100668,1001615856,25J09GJAED,09.10.25,1012,UN,,6
P109,I93,930101928,1001327682,24C14FJHLH,14.03.24,994,UN,,580
P109,I93,930101928,1001369865,24E13FJHLA,13.05.24,912,UN,,520
P109,I93,930101928,1001369867,24E13FJHLD,13.05.24,912,UN,,520
P109,I93,920100668,1001615832,25J09GJAEA,09.10.25,871,UN,,6
